Maladies cardiaques et vasculaires;Angor/angine de poitrine
Maladies cardiaques et vasculaires;Antécédent d’infarctus du myocarde
Maladies cardiaques et vasculaires;Antécédent de phlébite ou d’embolie pulmonaire
Maladies cardiaques et vasculaires;Artérite/artériopathie oblitérante des membres inférieurs
Maladies cardiaques et vasculaires;Arythmie cardiaque par fibrillation auriculaire
Maladies cardiaques et vasculaires;Cardiopathie congénitale
Maladies cardiaques et vasculaires;Hypercholestérolémie
Maladies cardiaques et vasculaires;Hypertension artérielle
Maladies cardiaques et vasculaires;Hypertension artérielle pulmonaire
Maladies cardiaques et vasculaires;Insuffisance cardiaque
Maladies cardiaques et vasculaires;Insuffisance veineuse chronique
Maladies cardiaques et vasculaires;Maladie de Kawasaki
Maladies cardiaques et vasculaires;Syndrome de  Marfan
Maladies cardiaques et vasculaires;Trouble de conduction (Pace Maker)
Maladies cardiaques et vasculaires;Troubles du rythme cardiaque
Maladies cardiaques et vasculaires;Valvulopathie, Remplacement valvulaire
Maladies cardiaques et vasculaires;Autre maladie cardiaque ou vasculaire
Cancers;Cancer de l’endomètre/du corps de l’utérus
Cancers;Cancer de l’estomac
Cancers;Cancer de l’œsophage
Cancers;Cancer de l’ovaire
Cancers;Cancer de la peau de type Carcinome baso-cellulaire
Cancers;Cancer de la peau de type Carcinome spinocellulaire
Cancers;Cancer de la prostate
Cancers;Cancer de la thyroïde
Cancers;Cancer de la vésicule biliaire
Cancers;Cancer de la vessie
Cancers;Cancer des os
Cancers;Cancer des testicules
Cancers;Cancer du cerveau
Cancers;Cancer du col de l’utérus
Cancers;Cancer du colon
Cancers;Cancer du foie
Cancers;Cancer du pancréas
Cancers;Cancer du poumon, des bronches, de la plèvre
Cancers;Cancer du rectum
Cancers;Cancer du rein
Cancers;Cancer du sein
Cancers;Cancer ORL (lèvre, bouche, pharynx, larynx...)
Cancers;Mélanome
Cancers;Autre cancer
Maladies endocriniennes;Acromégalie
Maladies endocriniennes;Adénome hypophysaire
Maladies endocriniennes;Cancer de la thyroïde
Maladies endocriniennes;Diabète
